AnimalId,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A683875,,16/07/2014 15:00,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue Tabby
A701305,,27/04/2015 14:35,Euthanasia,Suffering,Dog,Intact Female,1 year,Border Collie Mix,White/Black
A674023,Emma,15/03/2014 17:13,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Red/White
A659036,Red,14/10/2013 14:11,Transfer,Partner,Dog,Neutered Male,6 years,Labrador Retriever Mix,Chocolate
A707164,,12/09/2015 17:23,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Silver Tabby/White
A705283,,16/06/2015 09:00,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,White
A664281,,02/10/2013 23:53,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby
A705687,Sam,24/06/2015 12:23,Return_to_owner,,Dog,Neutered Male,7 years,Lhasa Apso Mix,White/Tan
A703916,Molly,06/06/2015 13:06,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
A685141,,04/08/2014 09:00,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
A640790,Morena,20/02/2014 17:28,Transfer,Partner,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black
A669579,Kitten,20/06/2014 13:27,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White/Blue
A714041,Annie,27/01/2016 13:42,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby/White
A709317,,11/08/2015 00:00,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Orange Tabby
A714705,,27/10/2015 12:19,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Medium Hair Mix,Black/Black Tabby
A701336,,30/04/2015 14:43,Transfer,Partner,Dog,Intact Female,1 year,Cairn Terrier Mix,Tan/Brown
A720557,Sandi,16/02/2016 14:19,Adoption,,Cat,Spayed Female,4 years,Domestic Longhair Mix,White
A680288,,06/06/2014 12:31,Transfer,Partner,Dog,Intact Male,4 years,Manchester Terrier Mix,Black/Tan
A719215,Cari̱o,25/01/2016 14:09,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black
A677046,,18/04/2014 17:22,Euthanasia,Aggressive,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby
A712757,Sandy,18/11/2015 18:19,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico
A708836,,11/11/2015 13:47,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A693346,Milo,09/12/2014 18:22,Return_to_owner,,Dog,Neutered Male,1 year,German Shepherd Mix,Black/Brown
A664428,,03/10/2013 15:32,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie
A702554,,30/06/2015 07:20,Adoption,Foster,Dog,Spayed Female,2 months,Australian Shepherd Mix,Brown Merle/White
A704559,,06/06/2015 12:56,Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Black/White
A719011,Socks,01/02/2016 19:20,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Tortie
A690934,,28/10/2014 18:02,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby
A683209,Tilly,30/07/2014 13:46,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue
A714707,Bruce Wayne,13/11/2015 09:58,Transfer,Partner,Dog,Neutered Male,1 year,Labrador Retriever/German Shepherd,Black/White
A680985,Onyx,03/07/2014 17:43,Adoption,,Cat,Spayed Female,2 months,Manx Mix,Black
A702945,,19/05/2015 14:59,Euthanasia,Suffering,Cat,Unknown,2 days,Domestic Shorthair Mix,Black/White
A703793,,08/06/2015 12:07,Died,In Kennel,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/Gray
A719466,Raymond,20/01/2016 16:20,Return_to_owner,,Dog,Neutered Male,3 years,Australian Kelpie Mix,Blue
A683153,Mariah,18/07/2014 15:02,Transfer,Partner,Cat,Intact Female,2 years,Domestic Longhair Mix,Torbie
A673530,Cece,11/11/2015 14:09,Adoption,Foster,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Tan/Tan
A688996,Gibson,21/10/2014 16:21,Return_to_owner,,Dog,Neutered Male,2 years,Golden Retriever Mix,Red
A684870,,29/07/2014 19:11,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A672155,Lil Baby,06/04/2014 17:26,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
A713047,,06/10/2015 17:10,Adoption,,Dog,Spayed Female,3 months,Labrador Retriever Mix,Black/White
A674800,,22/03/2014 13:08,Transfer,Partner,Cat,Intact Female,6 months,Domestic Shorthair Mix,Black/White
A711683,Squeaky,11/10/2015 14:07,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A693381,Mia,20/12/2014 15:27,Adoption,,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Tortie
A693240,Rocky,11/09/2015 18:09,Return_to_owner,,Dog,Neutered Male,6 years,German Shepherd Mix,Black
A670195,,03/01/2014 14:49,Euthanasia,Suffering,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black/White
A697914,,03/03/2015 17:08,Transfer,Partner,Cat,Unknown,4 days,Domestic Shorthair Mix,Black/White
A704724,,08/06/2015 16:27,Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Black/White
A678986,,15/05/2014 12:19,Transfer,SCRP,Cat,Intact Female,4 years,Domestic Shorthair Mix,Tortie
A665685,,22/10/2013 14:58,Euthanasia,Suffering,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Buff
A695637,,21/02/2015 06:54,Adoption,Foster,Dog,Neutered Male,1 month,English Coonhound/Border Collie,Red/White
A717911,Charlotte,26/12/2015 12:58,Transfer,Partner,Dog,Spayed Female,2 months,Chesa Bay Retr Mix,Chocolate
A704668,,07/06/2015 19:44,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
A710795,Jasmin,13/11/2015 19:45,Adoption,,Cat,Spayed Female,9 years,Domestic Shorthair Mix,Brown Tabby/White
A674157,Dobby,23/07/2014 19:00,Adoption,Foster,Dog,Neutered Male,9 months,Plott Hound/Labrador Retriever,Black/Brown Brindle
A673245,Brownie,03/03/2014 16:02,Euthanasia,Aggressive,Dog,Spayed Female,3 years,Pit Bull Mix,Brown/Black
A685314,Mia,14/08/2014 16:45,Transfer,Partner,Dog,Spayed Female,4 years,Bull Terrier Mix,White/Black
A663693,Zorro,02/10/2013 17:40,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A704191,Quint,12/07/2015 17:28,Adoption,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Blue Tabby/White
A677549,,26/04/2014 15:31,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Blue Tabby/White
A690672,,25/10/2014 09:00,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Longhair Mix,Brown Tabby
A713254,Denny,02/02/2016 13:19,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Brown Tabby
A663921,Collins,11/10/2013 12:01,Transfer,Partner,Dog,Spayed Female,1 year,Labrador Retriever/German Shepherd,Black
A682673,Moogi,02/07/2014 11:12,Transfer,Partner,Dog,Intact Male,3 years,Golden Retriever Mix,Red
A676558,,11/04/2014 18:00,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
A706542,,01/07/2015 09:00,Transfer,SCRP,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Orange Tabby/White
A708968,Sadie,05/08/2015 18:51,Return_to_owner,,Dog,Spayed Female,1 year,Boston Terrier Mix,Black/White
A684348,,22/07/2014 15:54,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie
A690452,Barney,27/10/2014 14:01,Transfer,Partner,Dog,Neutered Male,6 months,Border Collie Mix,White/Black
A698771,Lina,24/03/2015 16:32,Adoption,,Dog,Spayed Female,3 months,American Bulldog/Schnauzer Giant,White/Black
A690732,Scout,28/01/2015 17:39,Adoption,,Dog,Neutered Male,7 years,Dogo Argentino/Labrador Retriever,White/Brown
A697217,Copperfield,20/02/2015 12:06,Return_to_owner,,Dog,Intact Male,3 years,Chihuahua Shorthair Mix,Brown/White
A685629,Tango,10/08/2014 15:50,Return_to_owner,,Dog,Neutered Male,1 year,Boston Terrier Mix,Brown Brindle/White
A700106,Mr.Gray,20/04/2015 14:08,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue Tabby
A691223,,01/11/2014 09:00,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black
A669943,,04/01/2014 18:47,Adoption,,Dog,Neutered Male,8 months,German Shepherd,Black/Tan
A697609,Coda,01/03/2015 17:09,Return_to_owner,,Dog,Neutered Male,4 years,Siberian Husky,Gray/White
A710737,Digger,28/08/2015 15:57,Return_to_owner,,Dog,Intact Male,10 years,Queensland Heeler Mix,Blue Tick/Brown
A708631,Abby,03/08/2015 11:33,Transfer,Partner,Dog,Intact Female,4 months,Labrador Retriever Mix,Black/White
A702953,,27/05/2015 13:03,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black
A689909,Bashful,19/10/2014 12:52,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby/White
A697015,Balthasar,25/02/2015 15:44,Adoption,,Dog,Neutered Male,1 year,Miniature Schnauzer Mix,Black/White
A717881,,22/12/2015 11:59,Return_to_owner,,Dog,Intact Female,2 months,Dachshund Wirehair Mix,Brown
A670972,Zimm,24/06/2014 18:31,Return_to_owner,,Dog,Neutered Male,11 years,Rat Terrier Mix,Black/White
A702979,Jackson,03/07/2015 13:04,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A699111,Biggie Small,23/05/2015 13:57,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A704180,Thor,31/12/2015 13:32,Transfer,Partner,Dog,Neutered Male,9 months,Chow Chow/Pit Bull,Cream
A694448,,29/12/2014 10:55,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
A718484,Yuki,05/01/2016 18:13,Adoption,,Cat,Neutered Male,5 years,Domestic Longhair Mix,White
A680739,Stewart,07/08/2014 13:38,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
A677163,Beau,25/04/2014 11:42,Return_to_owner,,Dog,Neutered Male,2 years,Dachshund Wirehair Mix,Black/Brown
A625782,Tracie,22/04/2014 14:13,Adoption,Foster,Dog,Spayed Female,5 years,Labrador Retriever Mix,Red/White
A693561,Luna,17/12/2014 18:29,Return_to_owner,,Dog,Intact Female,7 months,German Shepherd Mix,Black/Tan
A648775,Daisy,25/11/2014 14:02,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico
A666790,Forest,20/12/2013 18:31,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
A697639,Meatball,01/03/2015 14:43,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
A711696,Bandit,11/09/2015 18:14,Return_to_owner,,Dog,Intact Male,3 years,Beagle Mix,Tricolor
A677036,Bentley,24/04/2014 17:25,Adoption,,Dog,Neutered Male,11 months,Miniature Schnauzer Mix,Black
A698511,Chico,13/03/2015 14:13,Return_to_owner,,Dog,Intact Male,3 years,Chihuahua Shorthair Mix,White/Red
A691793,Cash,17/12/2014 16:48,Return_to_owner,,Dog,Neutered Male,4 years,German Shepherd/Great Dane,Sable/Tan
A585692,Harley,04/12/2014 16:38,Adoption,,Dog,Spayed Female,5 years,Labrador Retriever Mix,Black
A680242,Darwen,19/06/2014 19:09,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby
A681351,Callie,15/06/2014 13:36,Transfer,Partner,Dog,Intact Female,4 months,Pit Bull Mix,Brown/White
A675362,,29/03/2014 19:29,Transfer,Partner,Dog,Intact Male,2 months,Labrador Retriever Mix,Cream
A680006,Hercules,02/06/2014 14:04,Transfer,Partner,Cat,Intact Male,1 month,Domestic Longhair Mix,Blue
A676013,Osiris,18/04/2014 14:09,Adoption,,Cat,Neutered Male,9 years,Domestic Shorthair Mix,Cream Tabby
A704996,Marisol,30/06/2015 14:52,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A670637,,13/01/2014 17:15,Transfer,SCRP,Cat,Unknown,1 year,Domestic Longhair Mix,Silver Tabby
A680143,,31/05/2014 11:21,Transfer,Partner,Dog,Intact Male,2 days,Labrador Retriever Mix,Black/White
A687738,,10/09/2014 09:00,Transfer,SCRP,Cat,Spayed Female,2 years,Manx Mix,Tortie
A710322,Leu,09/10/2015 15:26,Transfer,Partner,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Brown Tabby
A687496,,05/09/2014 15:16,Transfer,Partner,Cat,Unknown,3 days,Domestic Shorthair Mix,Black/White
A684655,Artemis,28/07/2014 16:32,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,White/Orange Tabby
A695574,Moo Moo,21/01/2015 17:34,Return_to_owner,,Dog,Intact Female,3 years,Shih Tzu Mix,Tricolor
A662489,Toffee,22/01/2014 18:08,Adoption,Offsite,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Chocolate/Black Smoke
A676623,Zane,30/05/2014 16:57,Adoption,Foster,Dog,Neutered Male,2 months,English Pointer Mix,Black/White
A699973,,09/04/2015 11:40,Transfer,Partner,Dog,Spayed Female,6 months,Miniature Schnauzer/Miniature Poodle,Black
A694931,Sweetie,11/01/2015 14:12,Adoption,,Dog,Spayed Female,7 years,Australian Shepherd Mix,Red Merle/White
A701653,Jada,31/05/2015 18:24,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Black/White
A688022,Chewy,16/09/2014 14:59,Return_to_owner,,Dog,Intact Male,8 months,Australian Kelpie Mix,Brown/White
A664068,,09/10/2013 13:14,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,White/Blue Tabby
A688136,Jellybean,06/12/2014 13:39,Adoption,,Dog,Spayed Female,4 years,Pit Bull Mix,White/Brown
A669723,Chloe,31/12/2013 15:27,Transfer,Partner,Cat,Spayed Female,10 months,Domestic Shorthair Mix,Calico
A678021,,02/05/2014 18:19,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby
A666518,,07/11/2013 12:53,Transfer,Partner,Dog,Spayed Female,3 months,American Pit Bull Terrier Mix,Brown/White
A666328,,10/11/2013 18:33,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A621641,Queen,14/06/2014 11:54,Return_to_owner,,Dog,Spayed Female,2 years,Chihuahua Longhair Mix,Black
A672987,,18/02/2014 19:14,Transfer,Partner,Cat,Intact Female,3 weeks,Siamese Mix,Lynx Point
A695433,,16/01/2015 09:00,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black/White
A717159,Bradley,10/01/2016 14:53,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White
A700815,,20/04/2015 13:54,Euthanasia,Suffering,Cat,Intact Male,2 years,Domestic Longhair Mix,Black/White
A686398,,21/08/2014 15:37,Transfer,Partner,Dog,Intact Male,1 month,Plott Hound Mix,Black/Brown Brindle
A689342,Harley,08/10/2014 18:05,Euthanasia,Suffering,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black
A710024,,20/08/2015 18:35,Adoption,,Dog,Neutered Male,2 months,Weimaraner/Pit Bull,Fawn/White
A720701,,16/02/2016 10:16,Transfer,SCRP,Cat,Intact Male,,Domestic Shorthair Mix,Blue Tabby/White
A515347,Snowball,06/10/2015 11:18,Return_to_owner,,Dog,Neutered Male,14 years,Pekingese Mix,White
A709416,Sampson,27/08/2015 15:47,Adoption,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Blue Tabby/White
A713264,King,06/10/2015 15:30,Return_to_owner,,Dog,Intact Male,7 months,Rottweiler,Black/Brown
A677301,,23/04/2014 13:42,Euthanasia,Suffering,Cat,Intact Male,4 years,Domestic Medium Hair Mix,Orange Tabby
A663841,Devereaux,21/10/2013 17:01,Adoption,,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Calico Point
A677481,,27/04/2014 12:25,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black
A693174,Sally,28/12/2014 18:24,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie/White
A690384,,19/10/2014 17:40,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby/White
A698961,Watson,02/06/2015 09:59,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby
A682447,,28/06/2014 12:14,Euthanasia,Suffering,Cat,Intact Female,3 months,Domestic Shorthair Mix,Calico
A668474,,04/12/2013 14:38,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair Mix,Cream Tabby/White
A699902,Wellington,19/07/2015 15:56,Adoption,,Cat,Neutered Male,3 years,Domestic Medium Hair Mix,Orange Tabby/White
A687870,Lucky,15/09/2014 18:36,Return_to_owner,,Dog,Neutered Male,2 years,Basset Hound/English Pointer,Chocolate/White
A668441,,05/12/2013 15:26,Euthanasia,Aggressive,Dog,Intact Female,7 months,Labrador Retriever Mix,Tan/White
A672599,Maggie,19/02/2014 18:31,Adoption,,Dog,Spayed Female,6 months,Vizsla/Golden Retriever,Red/White
A689813,Pamela,24/10/2014 14:45,Transfer,Partner,Cat,Spayed Female,12 years,Domestic Longhair Mix,White
A671743,Day,30/01/2014 16:58,Return_to_owner,,Dog,Intact Male,2 months,Pit Bull Mix,Brown/White
A682592,Maddie,12/07/2014 15:14,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A704830,,01/09/2015 14:12,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,White/Brown Tabby
A717331,,11/12/2015 17:41,Adoption,,Dog,Neutered Male,4 months,Labrador Retriever Mix,Red/White
A664184,,10/10/2013 18:44,Died,In Kennel,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black/White
A702447,,14/05/2015 11:57,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue/White
A678128,Amber,13/07/2014 18:37,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A720526,Hazel,13/02/2016 15:43,Adoption,,Dog,Spayed Female,1 month,Labrador Retriever Mix,Black/White
A692404,Coco,23/11/2014 09:09,Return_to_owner,,Dog,Intact Female,5 years,Chihuahua Shorthair Mix,Black/White
A710166,Melody,04/11/2015 10:37,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
A702494,Trey,17/06/2015 13:55,Transfer,Partner,Dog,Neutered Male,7 years,Labrador Retriever Mix,Red
A718102,Piper,02/01/2016 18:10,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Brown Tabby
A710027,Buster,21/08/2015 15:18,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever/Pit Bull,Black/White
A686372,Tea-Tee,26/08/2014 18:52,Adoption,,Dog,Spayed Female,1 year,Staffordshire Mix,White/Tan
A678470,,10/05/2014 12:43,Transfer,SCRP,Cat,Intact Male,7 months,Domestic Shorthair Mix,Black
A664378,Raisin,06/10/2013 12:01,Return_to_owner,,Dog,Intact Male,2 years,Chinese Sharpei,Brown
A716840,Buddy,27/11/2015 12:31,Return_to_owner,,Dog,Neutered Male,1 year,Border Collie,Black/Tan
A694195,Scooby,10/05/2015 16:28,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White/Black
A689097,,04/10/2014 19:15,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A687721,Minnie,13/09/2014 18:06,Adoption,,Dog,Spayed Female,2 months,Dachshund Longhair Mix,Tan
A683436,Lilly,22/08/2015 12:15,Adoption,,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Calico
A701911,Princess,15/05/2015 11:37,Transfer,Partner,Dog,Spayed Female,5 months,Great Pyrenees Mix,White
A699653,Hazel,04/04/2015 17:57,Adoption,,Dog,Spayed Female,1 year,Beagle/Dachshund,White/Brown
A712602,Zeus,15/10/2015 15:22,Transfer,Partner,Dog,Neutered Male,1 year,Chinese Sharpei Mix,Tan/White
A707097,Lily,10/07/2015 08:03,Euthanasia,Rabies Risk,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White/White
A706609,Griffin,29/07/2015 18:30,Transfer,Partner,Dog,Intact Male,2 months,Australian Shepherd Mix,Red/Black
A632706,Chanel,26/04/2015 11:29,Return_to_owner,,Dog,Spayed Female,3 years,Yorkshire Terrier Mix,Tan/Black
A713119,,04/10/2015 15:03,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Brown/Black Tabby
A718971,Tyson,10/01/2016 15:14,Return_to_owner,,Dog,Neutered Male,13 years,Yorkshire Terrier Mix,Tricolor
A705830,,21/06/2015 18:03,Euthanasia,Suffering,Cat,Intact Male,2 years,Domestic Medium Hair Mix,Black/White
A687916,Nash,25/10/2014 17:37,Adoption,,Dog,Neutered Male,2 years,American Bulldog/Labrador Retriever,White/Brown
A712617,Liberty,11/10/2015 18:22,Adoption,,Dog,Spayed Female,12 years,Chihuahua Shorthair Mix,Black
A675363,,29/03/2014 19:28,Transfer,Partner,Dog,Intact Male,2 months,Labrador Retriever Mix,Cream
A689974,Avalanche,13/10/2014 17:04,Return_to_owner,,Dog,Neutered Male,3 months,Labrador Retriever Mix,Yellow
A704627,Jimmy,08/07/2015 09:01,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,White/Blue
A682178,,27/06/2014 11:15,Return_to_owner,,Dog,Neutered Male,6 years,Chesa Bay Retr Mix,Chocolate
A705741,,20/06/2015 17:43,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Torbie
A708389,,04/08/2015 18:38,Adoption,,Dog,Spayed Female,6 months,Labrador Retriever/Border Collie,Black/White
A697600,,27/02/2015 14:34,Transfer,Partner,Cat,Intact Female,2 months,Domestic Longhair Mix,Orange Tabby
A698644,Della,13/04/2015 15:02,Transfer,Partner,Dog,Spayed Female,8 months,Anatol Shepherd/Redbone Hound,Red/Black
A712354,Pearce,30/09/2015 14:03,Adoption,,Dog,Neutered Male,1 year,German Shepherd Mix,White
A702302,Lilly,13/05/2015 15:38,Return_to_owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair/Dachshund,White/Tan
A684030,Hugo,30/08/2014 16:15,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Orange Tabby
A693863,Tommy,28/12/2014 13:30,Adoption,,Dog,Neutered Male,10 months,Labrador Retriever Mix,Black
A634147,Twixy,13/12/2014 13:30,Return_to_owner,,Dog,Spayed Female,3 years,Dachshund Mix,Red
A689553,Corky,10/10/2014 17:10,Adoption,,Dog,Neutered Male,2 years,Pembroke Welsh Corgi,Sable/White
A718291,Tim,02/01/2016 18:37,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White/Tan
A657903,Boomer,29/11/2013 12:28,Transfer,Partner,Dog,Neutered Male,10 months,Whippet Mix,White/Brown Merle
A705636,Packard,19/06/2015 00:00,Transfer,Partner,Dog,Unknown,6 months,Boxer Mix,Black
A681162,,13/06/2014 15:47,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie
A698626,Oscar,31/03/2015 14:33,Euthanasia,Suffering,Cat,Neutered Male,12 years,Domestic Longhair Mix,Blue Tabby/White
A669403,,20/12/2013 11:00,Euthanasia,Suffering,Cat,Intact Female,2 months,Domestic Shorthair Mix,Torbie
A714321,,22/10/2015 18:59,Transfer,Partner,Cat,Intact Female,1 month,Siamese Mix,Lynx Point
A692152,Richardson,19/11/2014 15:19,Adoption,,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Brown Tabby
A687036,Maya,01/09/2014 17:34,Return_to_owner,,Dog,Spayed Female,4 years,Labrador Retriever Mix,Black/White
A692020,,25/11/2014 18:34,Transfer,SCRP,Cat,Intact Female,7 months,Domestic Shorthair Mix,Calico
A699517,Max,01/04/2015 17:30,Adoption,,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Tan
A684408,Charlie,28/07/2014 18:30,Adoption,,Dog,Neutered Male,4 months,Catahoula Mix,Tan/White
A692836,Rhodes,27/12/2014 18:19,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Longhair Mix,Black/White
A704666,,07/06/2015 19:44,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Orange Tabby
A704623,Tumblr,13/06/2015 15:06,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby/White
A711054,Kiki,03/09/2015 17:33,Adoption,,Dog,Spayed Female,2 months,Manchester Terrier/Dachshund,Tricolor
A570239,Action,30/05/2015 14:45,Adoption,,Dog,Neutered Male,6 years,Pit Bull,White/Tan
A678047,Abigail,16/07/2014 15:54,Euthanasia,Medical,Dog,Spayed Female,5 years,American Pit Bull Terrier,Brown
A710518,Azule,30/08/2015 17:31,Adoption,,Dog,Neutered Male,2 years,Australian Cattle Dog Mix,Blue Merle
A695258,,13/01/2015 09:00,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,White/Black
A694178,Harley,28/12/2014 13:24,Transfer,Partner,Dog,Neutered Male,4 months,Border Collie/Queensland Heeler,Black/White
A710470,Felicia,19/09/2015 15:29,Adoption,,Dog,Spayed Female,2 years,Jack Russell Terrier/Pointer,White/Brown
A665560,Bud,01/11/2013 17:00,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Red/White
A694406,Star,01/01/2015 18:35,Return_to_owner,,Dog,Intact Female,4 years,Pit Bull Mix,Black/White
A684681,,27/07/2014 13:00,Transfer,Partner,Cat,Intact Female,1 week,Domestic Shorthair Mix,Orange Tabby/White
A719499,Vega,27/01/2016 13:40,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie
A664659,Kira,12/10/2013 17:56,Adoption,,Dog,Spayed Female,1 year,Chihuahua Longhair Mix,Brown
A673581,Darla,02/03/2014 17:05,Return_to_owner,,Dog,Spayed Female,9 months,Border Collie Mix,Tricolor
A698601,,15/03/2015 09:00,Transfer,SCRP,Cat,Unknown,2 years,Domestic Medium Hair Mix,Brown Tabby/White
A679665,,17/06/2014 13:21,Transfer,Partner,Dog,Spayed Female,1 month,German Shepherd Mix,Black/Brown
A681145,Farley,28/01/2016 08:39,Adoption,Foster,Dog,Neutered Male,11 years,Catahoula Mix,Blue Merle
A698312,Lukah,29/03/2015 17:44,Adoption,,Cat,Neutered Male,11 months,Domestic Shorthair,Blue
A715361,,13/11/2015 17:49,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A714224,Honey,15/11/2015 14:54,Adoption,,Dog,Spayed Female,6 years,Australian Cattle Dog/Beagle,Blue Tick/Black
A717054,Beau,28/12/2015 00:00,Transfer,Partner,Cat,Neutered Male,2 years,Himalayan Mix,Seal Point
